id	Level	LFC	qval	SE	sType	Species
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__	Burn	3.29687501545095	0.0011818225286626	0.775210183645982	Rt	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Mesorhizobium	Burn	1.74024340577959	0.000130392063792932	0.368211806708401	Rt	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Kribbella	Burn	1.20599718403756	0.006419989497576	0.314131357395294	BS	C_supina
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;__	Burn	1.55009001207256	0.0090121451103122	0.413337660395875	BS	C_supina
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	Burn	-1.17611332640843	0.0117104799188522	0.317995712594593	Rt	C_supina
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Incertae_Sedis	Burn	-1.69514240133846	0.0011448995378943	0.397553701040283	Rt	C_supina
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__possible_genus_04	Burn	2.8025590855063	0.0053980444949446	0.719503435897219	Rt	C_supina
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella	Burn	0.906811424570742	0.0015151101672465	0.216065323962595	Rt	C_supina
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	Burn	3.74849944037652	0.000392527788485531	0.828393425393834	BS	L_serriola
d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus	Burn	2.53752357007074	0.000151675615272195	0.536664565489637	BS	L_serriola
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Incertae_Sedis;g__Incertae_Sedis	Burn	2.31512172068217	0.008759175367943	0.609595541304422	BS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus	Burn	3.50031919671745	0.000556456242655944	0.787061725647638	BS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter	Burn	4.52471576546246	2.19209842126443E-07	0.764028334715398	BS	L_serriola
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_10	Burn	-2.75548020546989	0.0003353723066018	0.604086679760605	BS	L_serriola
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Baekduia	Burn	1.9737425619476	0.0015446533991111	0.468201958724079	BS	L_serriola
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia	Burn	3.13207334153025	9.46659748137719E-06	0.594740950999854	BS	L_serriola
